Position,Team,Points
1,Brazil,1533
2,Czech,1384
3,Netherlands,1346
4,America,1306
5,Spain,1254
6,Mexico,1179
7,France,1166
8,Portugal,1162
9,Argentine,1146
10,England,1118
11,Denmark,1106
12,Nigeria,1054
13,Turkey,1040
14,Italia,1012
15,Cameroon,1008
16,Sweden,989
17,Japan,976
18,Egypt,975
19,Greece,969
20,Germany,947
21,Tunisia,931
22,Uruguay,930
23,Iran,889
24,Croatia,880
25,Romania,858
26,Costa Rica,841
27,Colombia,837
28,Poland,825
29,Senegal,786
30,Ireland,777
31,South Korea,776
32,Cote Divoire,737
33,Paraguay,737
34,Saudi Arabia,735
35,Swiss,732
36,Morocco,727
37,Russia,714
38,Bulgaria,711
39,Ecuador,709
40,Norway,700
41,Ukraine,688
42,Honduras,681
43,Slovakia,671
44,Australia,657
45,Jamaica,647
46,Serbia And Montenegro,636
47,Israel,635
48,Trinidad And Tobago,612
49,Finland,608
50,Ghana,604
51,South Africa,603
52,Iraq,603
53,Guinea,591
54,Bahrain,583
55,Zimbabwe,575
56,Belgium,549
57,Zambia,548
58,Angola,545
59,Uzbekistan,530
60,Togo,528
61,Guatemala,520
62,Scotland,516
63,Bosnia Herzegovina,507
64,Belarus,506
65,Mali,495
66,China,493
67,Peru,462
68,Chile,458
69,Latvia,450
70,Dr Congo,445
71,Slovenia,439
72,Venezuela,433
73,Kuwait,431
74,Wales,426
75,Hungary,424
76,Austria,423
77,Qatar,422
78,Uae,413
79,Estonia,410
80,Cuba,407
81,Panama,405
82,Oman,404
83,Jordan,401
84,Canada,401
85,Libya,392
86,Albania,386
87,Algeria,383
88,Dpr Korea,381
89,Burkina Faso,381
90,Syria,379
91,Macedonia,378
92,Singapore,374
93,Rwanda,374
94,Kenya,364
95,Sudan,364
96,Northern Ireland,362
97,Iceland,354
98,Uganda,347
99,Lithuania,347
100,Cyprus,341
