Position,Team,Points
1,France,1533
2,Brazil,1384
3,Argentine,1346
4,Colombia,1306
5,Portugal,1254
6,Italia,1179
7,Mexico,1166
8,Spain,1162
9,Netherlands,1146
10,Yugoslavia,1118
11,England,1106
12,Germany,1054
13,America,1040
14,Czech,1012
15,Paraguay,1008
16,Romania,989
17,Sweden,976
18,Cameroon,975
19,Ireland,969
20,Denmark,947
21,Uruguay,931
22,Belgium,930
23,Croatia,889
24,Russia,880
25,Turkey,858
26,Honduras,841
27,Costa Rica,837
28,Slovenia,825
29,Nigeria,786
30,Tunisia,777
31,Norway,776
32,Iran,737
33,Japan,737
34,Saudi Arabia,735
35,Trinidad And Tobago,732
36,Ecuador,727
37,South Africa,714
38,Poland,711
39,Morocco,709
40,Egypt,700
41,South Korea,688
42,Finland,681
43,Senegal,671
44,Chile,657
45,Ukraine,647
46,Cote Divoire,636
47,Peru,635
48,Australia,612
49,Slovakia,608
50,Israel,604
51,China,603
52,Bulgaria,603
53,Scotland,591
54,Greece,583
55,Georgia,575
56,Iceland,549
57,Ghana,548
58,Jamaica,545
59,Angola,530
60,Austria,528
61,Thailand,520
62,Uae,516
63,Guatemala,507
64,Uzbekistan,506
65,Swiss,495
66,Zambia,493
67,Zimbabwe,462
68,Hungary,458
69,Togo,450
70,Bolivia,445
71,Dr Congo,439
72,Iraq,433
73,Bosnia Herzegovina,431
74,Canada,426
75,Burkina Faso,424
76,Qatar,423
77,Liberia,422
78,Algeria,413
79,Cuba,410
80,Kuwait,407
81,Cyprus,405
82,Haiti,404
83,Venezuela,401
84,El Salvador,401
85,Estonia,392
86,Mali,386
87,New Zealand,383
88,Belarus,381
89,Oman,381
90,Syria,379
91,Northern Ireland,378
92,Indonesia,374
93,Macedonia,374
94,Congo,364
95,Lebanon,364
96,Albania,362
97,Wales,354
98,Jordan,347
99,Armenia,347
100,Lithuania,341
