Round Number,Date,Location,Home Team,Away Team,Group,Result
1,14/06/2018 18:00,"Luzhniki Stadium, Moscow",South Africa,Mexico,Group A,
1,15/06/2018 15:00,Ekaterinburg Stadium,Uruguay,France,Group A,
1,15/06/2018 18:00,Saint Petersburg Stadium,Argentina,Nigeria,Group B,
1,15/06/2018 21:00,"Fisht Stadium, Sochi",England,United States,Group B,
1,16/06/2018 13:00,Kazan Arena,South Korea,Greece,Group C,
1,16/06/2018 16:00,"Otkrytiye Arena, Moscow",Algeria,Slovenia,Group D,
1,16/06/2018 19:00,Saransk Stadium,Germany,Australia,Group C,
1,16/06/2018 22:00,Kaliningrad Stadium,Serbia,Ghana,Group D,
1,17/06/2018 15:00,Samara Stadium,Italy,Paraguay,Group E,
1,17/06/2018 18:00,"Luzhniki Stadium, Moscow",Japan,Cameroon,Group F,
1,17/06/2018 21:00,Rostov-on-Don Stadium,Netherlands,Denmark,Group E,
1,18/06/2018 15:00,Nizhny Novgorod Stadium,Brazil,North Korea,Group F,
1,18/06/2018 18:00,"Fisht Stadium, Sochi",Cote Divoire,Portugal,Group G,
1,18/06/2018 21:00,Volgograd Stadium,New Zealand,Slovakia,Group G,
1,19/06/2018 15:00,Saransk Stadium,Honduras,Chile,Group H,
1,19/06/2018 18:00,"Otkrytiye Arena, Moscow",South Africa,Uruguay,Group H,
2,19/06/2018 21:00,Saint Petersburg Stadium,Spain,Switzerland,Group A,
2,20/06/2018 15:00,"Luzhniki Stadium, Moscow",Argentina,South Korea,Group B,
2,20/06/2018 18:00,Rostov-on-Don Stadium,France,Mexico,Group A,
2,20/06/2018 21:00,Kazan Arena,Greece,Nigeria,Group B,
2,21/06/2018 15:00,Samara Stadium,England,Algeria,Group C,
2,21/06/2018 18:00,Ekaterinburg Stadium,Germany,Serbia,Group C,
2,21/06/2018 21:00,Nizhny Novgorod Stadium,Slovenia,United States,Group D,
2,22/06/2018 15:00,Saint Petersburg Stadium,Cameroon,Denmark,Group E,
2,22/06/2018 18:00,Volgograd Stadium,Ghana,Australia,Group D,
2,22/06/2018 21:00,Kaliningrad Stadium,Netherlands,Japan,Group E,
2,23/06/2018 15:00,"Otkrytiye Arena, Moscow",Brazil,Cote Divoire,Group G,
2,23/06/2018 18:00,Rostov-on-Don Stadium,Italy,New Zealand,Group F,
2,23/06/2018 21:00,"Fisht Stadium, Sochi",Slovakia,Paraguay,Group F,
2,24/06/2018 15:00,Nizhny Novgorod Stadium,Chile,Switzerland,Group G,
2,24/06/2018 18:00,Ekaterinburg Stadium,Portugal,North Korea,Group H,
2,24/06/2018 21:00,Kazan Arena,Spain,Honduras,Group H,
3,25/06/2018 17:00,Samara Stadium,France,South Africa,Group A,
3,25/06/2018 17:00,Volgograd Stadium,Greece,Argentina,Group A,
3,25/06/2018 21:00,Saransk Stadium,Mexico,Uruguay,Group B,
3,25/06/2018 21:00,Kaliningrad Stadium,Nigeria,South Korea,Group B,
3,26/06/2018 17:00,"Luzhniki Stadium, Moscow",Australia,Serbia,Group C,
3,26/06/2018 17:00,"Fisht Stadium, Sochi",Ghana,Germany,Group C,
3,26/06/2018 21:00,Saint Petersburg Stadium,Slovenia,England,Group D,
3,26/06/2018 21:00,Rostov-on-Don Stadium,United States,Algeria,Group D,
3,27/06/2018 17:00,Ekaterinburg Stadium,Cameroon,Netherlands,Group F,
3,27/06/2018 17:00,Kazan Arena,Denmark,Japan,Group F,
3,27/06/2018 21:00,"Otkrytiye Arena, Moscow",Paraguay,New Zealand,Group E,
3,27/06/2018 21:00,Nizhny Novgorod Stadium,Slovakia,Italy,Group E,
3,28/06/2018 17:00,Volgograd Stadium,Chile,Spain,Group H,
3,28/06/2018 17:00,Samara Stadium,North Korea,Cote Divoire,Group H,
3,28/06/2018 21:00,Saransk Stadium,Portugal,Brazil,Group G,
3,28/06/2018 21:00,Kaliningrad Stadium,Switzerland,Honduras,Group G,
3,30/06/2018 21:00,"Fisht Stadium, Sochi",Uruguay,South Korea,Group G,
3,30/06/2018 21:00,Kazan Arena,United States,Ghana,Group G,
3,1/7/2018 17:00,"Luzhniki Stadium, Moscow",Argentina,Mexico,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Germany,England,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Brazil,Chile,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Netherlands,Slovakia,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Paraguay,Japan,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Spain,Portugal,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Netherlands,Brazil,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Uruguay,Ghana,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Argentina,Germany,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Paraguay,Spain,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Uruguay,Netherlands,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Germany,Spain,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Uruguay,Germany,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Netherlands,Spain,Group G,
