Round Number,Date,Location,Home Team,Away Team,Group,Result
1,14/06/2018 18:00,"Luzhniki Stadium, Moscow",Germany,Costa Rica,Group A,
1,15/06/2018 15:00,Ekaterinburg Stadium,Poland,Ecuador,Group A,
1,15/06/2018 18:00,Saint Petersburg Stadium,Argentina,Cote Divoire,Group B,
1,15/06/2018 21:00,"Fisht Stadium, Sochi",England,Paraguay,Group B,
1,16/06/2018 13:00,Kazan Arena,Trinidad and Tobago,Sweden,Group C,
1,16/06/2018 16:00,"Otkrytiye Arena, Moscow",Angola,Portugal,Group D,
1,16/06/2018 19:00,Saransk Stadium,Mexico,Iran,Group C,
1,16/06/2018 22:00,Kaliningrad Stadium,Serbia,Netherlands,Group D,
1,17/06/2018 15:00,Samara Stadium,Australia,Japan,Group E,
1,17/06/2018 18:00,"Luzhniki Stadium, Moscow",Italy,Ghana,Group F,
1,17/06/2018 21:00,Rostov-on-Don Stadium,United States,Czech Republic,Group E,
1,18/06/2018 15:00,Nizhny Novgorod Stadium,Brazil,Croatia,Group F,
1,18/06/2018 18:00,"Fisht Stadium, Sochi",France,Switzerland,Group G,
1,18/06/2018 21:00,Volgograd Stadium,South Korea,Togo,Group G,
1,19/06/2018 15:00,Saransk Stadium,Germany,Poland,Group H,
1,19/06/2018 18:00,"Otkrytiye Arena, Moscow",Spain,Ukraine,Group H,
2,19/06/2018 21:00,Saint Petersburg Stadium,Tunisia,Saudi Arabia,Group A,
2,20/06/2018 15:00,"Luzhniki Stadium, Moscow",Ecuador,Costa Rica,Group B,
2,20/06/2018 18:00,Rostov-on-Don Stadium,England,Trinidad and Tobago,Group A,
2,20/06/2018 21:00,Kazan Arena,Sweden,Paraguay,Group B,
2,21/06/2018 15:00,Samara Stadium,Argentina,Serbia,Group C,
2,21/06/2018 18:00,Ekaterinburg Stadium,Mexico,Angola,Group C,
2,21/06/2018 21:00,Nizhny Novgorod Stadium,Netherlands,Cote Divoire,Group D,
2,22/06/2018 15:00,Saint Petersburg Stadium,Czech Republic,Ghana,Group E,
2,22/06/2018 18:00,Volgograd Stadium,Italy,United States,Group D,
2,22/06/2018 21:00,Kaliningrad Stadium,Portugal,Iran,Group E,
2,23/06/2018 15:00,"Otkrytiye Arena, Moscow",Brazil,Australia,Group G,
2,23/06/2018 18:00,Rostov-on-Don Stadium,France,South Korea,Group F,
2,23/06/2018 21:00,"Fisht Stadium, Sochi",Japan,Croatia,Group F,
2,24/06/2018 15:00,Nizhny Novgorod Stadium,Saudi Arabia,Ukraine,Group G,
2,24/06/2018 18:00,Ekaterinburg Stadium,Spain,Tunisia,Group H,
2,24/06/2018 21:00,Kazan Arena,Togo,Switzerland,Group H,
3,25/06/2018 17:00,Samara Stadium,Costa Rica,Poland,Group A,
3,25/06/2018 17:00,Volgograd Stadium,Ecuador,Germany,Group A,
3,25/06/2018 21:00,Saransk Stadium,Paraguay,Trinidad and Tobago,Group B,
3,25/06/2018 21:00,Kaliningrad Stadium,Sweden,England,Group B,
3,26/06/2018 17:00,"Luzhniki Stadium, Moscow",Iran,Angola,Group C,
3,26/06/2018 17:00,"Fisht Stadium, Sochi",Cote Divoire,Serbia,Group C,
3,26/06/2018 21:00,Saint Petersburg Stadium,Netherlands,Argentina,Group D,
3,26/06/2018 21:00,Rostov-on-Don Stadium,Portugal,Mexico,Group D,
3,27/06/2018 17:00,Ekaterinburg Stadium,Croatia,Australia,Group F,
3,27/06/2018 17:00,Kazan Arena,Czech Republic,Italy,Group F,
3,27/06/2018 21:00,"Otkrytiye Arena, Moscow",Ghana,United States,Group E,
3,27/06/2018 21:00,Nizhny Novgorod Stadium,Japan,Brazil,Group E,
3,28/06/2018 17:00,Volgograd Stadium,Saudi Arabia,Spain,Group H,
3,28/06/2018 17:00,Samara Stadium,Switzerland,South Korea,Group H,
3,28/06/2018 21:00,Saransk Stadium,Togo,France,Group G,
3,28/06/2018 21:00,Kaliningrad Stadium,Ukraine,Tunisia,Group G,
3,30/06/2018 21:00,"Fisht Stadium, Sochi",Argentina,Mexico,Group G,
3,30/06/2018 21:00,Kazan Arena,Germany,Sweden,Group G,
3,1/7/2018 17:00,"Luzhniki Stadium, Moscow",England,Ecuador,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Portugal,Netherlands,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Italy,Australia,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Switzerland,Ukraine,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Brazil,Ghana,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Spain,France,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Germany,Argentina,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Italy,Ukraine,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Brazil,France,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,England,Portugal,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Germany,Italy,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Portugal,France,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Germany,Portugal,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Italy,France,Group G,
