Position,Team,Points
1,Brazil,1533
2,Germany,1384
3,Czech,1346
4,Mexico,1306
5,England,1254
6,Chile,1179
7,Argentine,1166
8,Yugoslavia,1162
9,Spain,1146
10,Anguilla,1118
11,Japan,1106
12,Norway,1054
13,Colombia,1040
14,Netherlands,1012
15,America,1008
16,Italia,989
17,Russia,976
18,Egypt,975
19,Zambia,969
20,Denmark,947
21,South Africa,931
22,Romania,930
23,Croatia,889
24,South Korea,880
25,France,858
26,Tunisia,841
27,Sweden,837
28,Austria,825
29,Paraguay,786
30,Ecuador,777
31,Jamaica,776
32,Belgium,737
33,Australia,737
34,Bolivia,735
35,Peru,732
36,Slovakia,727
37,Uruguay,714
38,Saudi Arabia,711
39,Portugal,709
40,Israel,700
41,Kuwait,688
42,Bulgaria,681
43,Cote Divoire,671
44,Scotland,657
45,Lithuania,647
46,Iran,636
47,Ireland,635
48,Cameroon,612
49,Trinidad And Tobago,608
50,Costa Rica,604
51,China,603
52,Thailand,603
53,Uae,591
54,Turkey,583
55,Poland,575
56,Greece,549
57,Georgia,548
58,Algeria,545
59,Angola,530
60,Ghana,528
61,Guinea,520
62,Finland,516
63,Ukraine,507
64,Dr Congo,506
65,El Salvador,495
66,Mali,493
67,Guatemala,462
68,Burkina Faso,458
69,Nigeria,450
70,Swiss,445
71,Mozambique,439
72,Qatar,433
73,Hungary,431
74,Canada,426
75,Latvia,424
76,Iceland,423
77,Togo,422
78,Namibia,413
79,Uzbekistan,410
80,Gabon,407
81,Senegal,405
82,Cyprus,404
83,Honduras,401
84,Iraq,401
85,Cuba,392
86,Zimbabwe,386
87,Oman,383
88,Indonesia,381
89,Macedonia,381
90,Sierra Leone,379
91,Kenya,378
92,Northern Ireland,374
93,Syria,374
94,Lebanon,364
95,Tanzania,364
96,Slovenia,362
97,Malawi,354
98,Liberia,347
99,Malaysia,347
100,Albania,341
