Round Number,Date,Location,Home Team,Away Team,Group,Result
1,14/06/2018 18:00,"Luzhniki Stadium, Moscow",Brazil,Croatia,Group A,
1,15/06/2018 15:00,Ekaterinburg Stadium,Chile,Australia,Group A,
1,15/06/2018 18:00,Saint Petersburg Stadium,Mexico,Cameroon,Group B,
1,15/06/2018 21:00,"Fisht Stadium, Sochi",Spain,Netherlands,Group B,
1,16/06/2018 13:00,Kazan Arena,Colombia,Greece,Group C,
1,16/06/2018 16:00,"Otkrytiye Arena, Moscow",England,Italy,Group D,
1,16/06/2018 19:00,Saransk Stadium,Ivory Coast,Japan,Group C,
1,16/06/2018 22:00,Kaliningrad Stadium,Uruguay,Costa Rica,Group D,
1,17/06/2018 15:00,Samara Stadium,Argentina,Bosnia-Herzegovina,Group E,
1,17/06/2018 18:00,"Luzhniki Stadium, Moscow",France,Honduras,Group F,
1,17/06/2018 21:00,Rostov-on-Don Stadium,Switzerland,Ecuador,Group E,
1,18/06/2018 15:00,Nizhny Novgorod Stadium,Germany,Portugal,Group F,
1,18/06/2018 18:00,"Fisht Stadium, Sochi",Ghana,USA,Group G,
1,18/06/2018 21:00,Volgograd Stadium,Iran,Nigeria,Group G,
1,19/06/2018 15:00,Saransk Stadium,Belgium,Algeria,Group H,
1,19/06/2018 18:00,"Otkrytiye Arena, Moscow",Brazil,Mexico,Group H,
2,19/06/2018 21:00,Saint Petersburg Stadium,Russia,Korea Republic,Group A,
2,20/06/2018 15:00,"Luzhniki Stadium, Moscow",Australia,Netherlands,Group B,
2,20/06/2018 18:00,Rostov-on-Don Stadium,Cameroon,Croatia,Group A,
2,20/06/2018 21:00,Kazan Arena,Spain,Chile,Group B,
2,21/06/2018 15:00,Samara Stadium,Colombia,Ivory Coast,Group C,
2,21/06/2018 18:00,Ekaterinburg Stadium,Japan,Greece,Group C,
2,21/06/2018 21:00,Nizhny Novgorod Stadium,Uruguay,England,Group D,
2,22/06/2018 15:00,Saint Petersburg Stadium,Honduras,Ecuador,Group E,
2,22/06/2018 18:00,Volgograd Stadium,Italy,Costa Rica,Group D,
2,22/06/2018 21:00,Kaliningrad Stadium,Switzerland,France,Group E,
2,23/06/2018 15:00,"Otkrytiye Arena, Moscow",Argentina,Iran,Group G,
2,23/06/2018 18:00,Rostov-on-Don Stadium,Germany,Ghana,Group F,
2,23/06/2018 21:00,"Fisht Stadium, Sochi",Nigeria,Bosnia-Herzegovina,Group F,
2,24/06/2018 15:00,Nizhny Novgorod Stadium,Belgium,Russia,Group G,
2,24/06/2018 18:00,Ekaterinburg Stadium,Korea Republic,Algeria,Group H,
2,24/06/2018 21:00,Kazan Arena,USA,Portugal,Group H,
3,25/06/2018 17:00,Samara Stadium,Australia,Spain,Group A,
3,25/06/2018 17:00,Volgograd Stadium,Cameroon,Brazil,Group A,
3,25/06/2018 21:00,Saransk Stadium,Croatia,Mexico,Group B,
3,25/06/2018 21:00,Kaliningrad Stadium,Netherlands,Chile,Group B,
3,26/06/2018 17:00,"Luzhniki Stadium, Moscow",Costa Rica,England,Group C,
3,26/06/2018 17:00,"Fisht Stadium, Sochi",Greece,Ivory Coast,Group C,
3,26/06/2018 21:00,Saint Petersburg Stadium,Italy,Uruguay,Group D,
3,26/06/2018 21:00,Rostov-on-Don Stadium,Japan,Colombia,Group D,
3,27/06/2018 17:00,Ekaterinburg Stadium,Bosnia-Herzegovina,Iran,Group F,
3,27/06/2018 17:00,Kazan Arena,Ecuador,France,Group F,
3,27/06/2018 21:00,"Otkrytiye Arena, Moscow",Honduras,Switzerland,Group E,
3,27/06/2018 21:00,Nizhny Novgorod Stadium,Nigeria,Argentina,Group E,
3,28/06/2018 17:00,Volgograd Stadium,Algeria,Russia,Group H,
3,28/06/2018 17:00,Samara Stadium,Korea Republic,Belgium,Group H,
3,28/06/2018 21:00,Saransk Stadium,Portugal,Ghana,Group G,
3,28/06/2018 21:00,Kaliningrad Stadium,USA,Germany,Group G,
3,30/06/2018 21:00,"Fisht Stadium, Sochi",Brazil,Chile,Group G,
3,30/06/2018 21:00,Kazan Arena,Colombia,Uruguay,Group G,
3,1/7/2018 17:00,"Luzhniki Stadium, Moscow",Costa Rica,Greece,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Netherlands,Mexico,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,France,Nigeria,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Germany,Algeria,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Argentina,Switzerland,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Belgium,USA,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Brazil,Colombia,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,France,Germany,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Argentina,Belgium,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Netherlands,Costa Rica,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Brazil,Germany,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Netherlands,Argentina,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Brazil,Netherlands,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Germany,Argentina,Group G,
