Position,Team,Points
1,Brazil,1533
2,Spain,1384
3,Portugal,1346
4,Netherlands,1306
5,Italia,1254
6,Germany,1179
7,Argentine,1166
8,England,1162
9,Croatia,1146
10,France,1118
11,Russia,1106
12,Greece,1054
13,Egypt,1040
14,America,1012
15,Chile,1008
16,Serbia,989
17,Mexico,976
18,Uruguay,975
19,Cameroon,969
20,Australia,947
21,Nigeria,931
22,Norway,930
23,Slovenia,889
24,Israel,880
25,Ukraine,858
26,Swiss,841
27,Cote Divoire,837
28,Romania,825
29,Czech,786
30,Paraguay,777
31,Algeria,776
32,Ghana,737
33,Turkey,737
34,Colombia,735
35,Denmark,732
36,Ecuador,727
37,Sweden,714
38,Slovakia,711
39,Bulgaria,709
40,Honduras,700
41,Gabon,688
42,Costa Rica,681
43,Ireland,671
44,Scotland,657
45,Japan,647
46,Latvia,636
47,South Korea,635
48,Lithuania,612
49,Finland,608
50,Venezuela,604
51,Bosnia Herzegovina,603
52,Burkina Faso,603
53,Peru,591
54,Mali,583
55,Tunisia,575
56,Hungary,549
57,Northern Ireland,548
58,Poland,545
59,Benin,530
60,Macedonia,528
61,Iran,520
62,Belgium,516
63,Canada,507
64,Austria,506
65,Montenegro,495
66,Saudi Arabia,493
67,Bolivia,462
68,Cyprus,458
69,Bahrain,450
70,Morocco,445
71,El Salvador,439
72,Zambia,433
73,Togo,431
74,Uganda,426
75,Wales,424
76,Panama,423
77,Senegal,422
78,New Zealand,413
79,Jamaica,410
80,Albania,407
81,Belarus,405
82,Iraq,404
83,Malawi,401
84,Moldova,401
85,China,392
86,Angola,386
87,Haiti,383
88,Guinea,381
89,Mozambique,381
90,South Africa,379
91,Iceland,378
92,Trinidad And Tobago,374
93,Gambia,374
94,Uzbekistan,364
95,Qatar,364
96,Kuwait,362
97,Oman,354
98,Syria,347
99,Armenia,347
100,Uae,341
101,North Korea,321
