Round Number,Date,Location,Home Team,Away Team,Group,Result
1,14/06/2018 18:00,"Luzhniki Stadium, Moscow",France,Senegal,Group A,
1,15/06/2018 15:00,Ekaterinburg Stadium,Uruguay,Denmark,Group A,
1,15/06/2018 18:00,Saint Petersburg Stadium,France,Uruguay,Group B,
1,15/06/2018 21:00,"Fisht Stadium, Sochi",Denmark,Senegal,Group B,
1,16/06/2018 13:00,Kazan Arena,Denmark,France,Group C,
1,16/06/2018 16:00,"Otkrytiye Arena, Moscow",Senegal,Uruguay,Group D,
1,16/06/2018 19:00,Saransk Stadium,Paraguay,South Africa,Group C,
1,16/06/2018 22:00,Kaliningrad Stadium,Spain,Slovenia,Group D,
1,17/06/2018 15:00,Samara Stadium,Spain,Paraguay,Group E,
1,17/06/2018 18:00,"Luzhniki Stadium, Moscow",South Africa,Slovenia,Group F,
1,17/06/2018 21:00,Rostov-on-Don Stadium,South Africa,Spain,Group E,
1,18/06/2018 15:00,Nizhny Novgorod Stadium,Slovenia,Paraguay,Group F,
1,18/06/2018 18:00,"Fisht Stadium, Sochi",Brazil,Turkey,Group G,
1,18/06/2018 21:00,Volgograd Stadium,China PR,Costa Rica,Group G,
1,19/06/2018 15:00,Saransk Stadium,Brazil,China PR,Group H,
1,19/06/2018 18:00,"Otkrytiye Arena, Moscow",Costa Rica,Turkey,Group H,
2,19/06/2018 21:00,Saint Petersburg Stadium,Costa Rica,Brazil,Group A,
2,20/06/2018 15:00,"Luzhniki Stadium, Moscow",Turkey,China PR,Group B,
2,20/06/2018 18:00,Rostov-on-Don Stadium,Korea Republic,Poland,Group A,
2,20/06/2018 21:00,Kazan Arena,USA,Portugal,Group B,
2,21/06/2018 15:00,Samara Stadium,Korea Republic,USA,Group C,
2,21/06/2018 18:00,Ekaterinburg Stadium,Portugal,Poland,Group C,
2,21/06/2018 21:00,Nizhny Novgorod Stadium,Portugal,Korea Republic,Group D,
2,22/06/2018 15:00,Saint Petersburg Stadium,Poland,USA,Group E,
2,22/06/2018 18:00,Volgograd Stadium,Republic of Ireland,Cameroon,Group D,
2,22/06/2018 21:00,Kaliningrad Stadium,Germany,Saudi Arabia,Group E,
2,23/06/2018 15:00,"Otkrytiye Arena, Moscow",Germany,Republic of Ireland,Group G,
2,23/06/2018 18:00,Rostov-on-Don Stadium,Cameroon,Saudi Arabia,Group F,
2,23/06/2018 21:00,"Fisht Stadium, Sochi",Cameroon,Germany,Group F,
2,24/06/2018 15:00,Nizhny Novgorod Stadium,Saudi Arabia,Republic of Ireland,Group G,
2,24/06/2018 18:00,Ekaterinburg Stadium,England,Sweden,Group H,
2,24/06/2018 21:00,Kazan Arena,Argentina,Nigeria,Group H,
3,25/06/2018 17:00,Samara Stadium,Sweden,Nigeria,Group A,
3,25/06/2018 17:00,Volgograd Stadium,Argentina,England,Group A,
3,25/06/2018 21:00,Saransk Stadium,Sweden,Argentina,Group B,
3,25/06/2018 21:00,Kaliningrad Stadium,Nigeria,England,Group B,
3,26/06/2018 17:00,"Luzhniki Stadium, Moscow",Croatia,Mexico,Group C,
3,26/06/2018 17:00,"Fisht Stadium, Sochi",Italy,Ecuador,Group C,
3,26/06/2018 21:00,Saint Petersburg Stadium,Italy,Croatia,Group D,
3,26/06/2018 21:00,Rostov-on-Don Stadium,Mexico,Ecuador,Group D,
3,27/06/2018 17:00,Ekaterinburg Stadium,Mexico,Italy,Group F,
3,27/06/2018 17:00,Kazan Arena,Ecuador,Croatia,Group F,
3,27/06/2018 21:00,"Otkrytiye Arena, Moscow",Japan,Belgium,Group E,
3,27/06/2018 21:00,Nizhny Novgorod Stadium,Russia,Tunisia,Group E,
3,28/06/2018 17:00,Volgograd Stadium,Japan,Russia,Group H,
3,28/06/2018 17:00,Samara Stadium,Tunisia,Belgium,Group H,
3,28/06/2018 21:00,Saransk Stadium,Tunisia,Japan,Group G,
3,28/06/2018 21:00,Kaliningrad Stadium,Belgium,Russia,Group G,
3,30/06/2018 21:00,"Fisht Stadium, Sochi",Germany,Paraguay,Group G,
3,30/06/2018 21:00,Kazan Arena,Denmark,England,Group G,
3,1/7/2018 17:00,"Luzhniki Stadium, Moscow",Sweden,Senegal,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Spain,Republic of Ireland,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Mexico,USA,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Brazil,Belgium,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Japan,Turkey,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Korea Republic,Italy,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,England,Brazil,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Germany,USA,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Spain,Korea Republic,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Senegal,Turkey,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Germany,Korea Republic,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Brazil,Turkey,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Korea Republic,Turkey,Group G,
3,1/7/2018 21:00,Nizhny Novgorod Stadium,Germany,Brazil,Group G,
